This list includes all products vetted to see if they meet California’s legal use criteria. Please view column G (Can this product be used on cannabis? Y/N) to view which products are consistent with and meet California’s legal criteria for use on cannabis. ,,,,,,,
Bon-Neem II Fungicide Miticide Insecticide Ready To Use,N,N/A,"Bonide Products, LLC",70051-74-ZA-4,"Clarified hydrophobic extract of neem oil, piperonyl butoxide, pyrethrins","Fungicide, Miticide, Insecticide",1/19/2018
BotaniGard 22WP,N,,"Certis USA, LLC",82074-2-AA,Beauveria bassiana strain: GHA ,Insecticide,5/30/2019
BotaniGard ES,N,,"Certis USA, LLC",82074-1-AA,Beauveria bassiana strain: GHA ,Insecticide,9/19/2022
BotaniGard Optima ES,N,,"Certis USA, LLC",82074-17-ZA,Beauveria bassiana strain: GHA ,Insecticide,11/2/2023
BoteGHA ES ,N,,"Certis USA, LLC",82074-1-ZB,Beauveria bassiana strain: GHA ,Insecticide,9/19/2022
BoteGHA Optima ES,N,,"Certis USA, LLC",82074-17-ZB,Beauveria bassiana strain: GHA ,Insecticide,11/2/2023
Botrystop WP,N,N/A,"Bioworks, Inc. D/B/A Bioworks",68539-17-AA,Ulocladium oudemansii (U3 strain),Fungicide,1/18/2024
Brandt Nema-Q,N,N/A,"Brandt Consolidated, Inc.",82572-1-AA-48813,Quillaja ,Nematicide,6/17/2021
Brandt Turfzilla,N,N/A,"Brandt Consolidated, Inc.",83416-1-AA-48813,Mono- and di- potassium salts of phosphorus acid,Fungicide,4/7/2017
Captain Jack's Copper Fungicide Ready To Use,N,N/A,"Bonide Products, LLC",67702-1-ZC-4,Copper octanoate,Fungicide,10/16/2017
Captain Jack's Neem Oil Fungicide Miticide Insecticide Concentrate,N,N/A,"Bonide Products, LLC",70051-2-ZC-4,Clarified hydrophobic extract of neem oil,"Fungicide, Insecticide",8/29/2019
Captain Jack's Neem Oil Ready To Use,N,N/A,"Bonide Products, LLC",70051-13-ZF-4,Clarified hydrophobic extract of neem oil,"Insecticide, Fungicide, Miticide",7/20/2022
Captain Jack's Orchard Spray Concentrate,N,N/A,"Bonide Products, LLC",67702-17-ZD-4,"Pyrethrins, sulfur","Fungicide, Miticide, Insecticide",11/8/2019
Captain Jack's Orchard Spray Ready To Spray,N,N/A,"Bonide Products, LLC",67702-17-ZE-4,"Pyrethrins, sulfur","Fungicide, Miticide, Insecticide",6/16/2022
Captain Jack's Slug Magic Makes Slugs Disappear,N,N/A,"Bonide Products, LLC",67702-3-ZB-4,Iron phosphate,Molluscicide,12/9/2022
Captain Jack's Tomato & Vegetable Ready To Use,N,N/A,"Bonide Products, LLC",67702-15-ZB-4,"Pyrethrins, sulfur","Fungicide, Insecticide",4/13/2018
Carb-O-Nator,N,N/A,"Certis USA, LLC",70051-117-AA,Potassium bicarbonate,Fungicide,3/26/2021
"Citrus, Fruit & Nut Orchard Spray Concentrate",N,N/A,"Bonide Products, LLC",67702-17-AA-4,"Pyrethrins, sulfur","Fungicide, Miticide, Insecticide",4/15/2021
"Citrus, Fruit & Nut Orchard Spray Ready To Spray",N,N/A,"Bonide Products, LLC",67702-17-ZA-4,"Pyrethrins, sulfur","Fungicide, Insecticide",3/13/2013
Cold Pressed Neem Oil Concentrate,N,N/A,"Terramera, Inc.",88760-10-ZA,Margosa oil,"Fungicide, Miticide, Insecticide, Nematicide",1/1/2013
Conserve SC Turf and Ornamentatl,N,N/A,Corteva Agriscience LLC ,62719-291-ZA,Spinosad,Insecticide,5/13/2021
Copper Soap,N,N/A,"Espoma Company, The - D/B/A Espoma Organic",67702-1-ZA_83598,Copper octanoate,Fungicide,10/25/2017
Crymax,N,N/A,"Certis USA, LLC",70051-86-AA,"Bacillus thuringiensis subsp. kurstaki, genetically engineered strain EG7841 lepidopteran active toxin	",Insecticide,5/25/2021
Cueva Fungicide Concentrate,N,N/A,"Certis USA, LLC",67702-2-AA-70051,Copper octanoate,Fungicide,6/22/2016
Cyclone,N,N/A,SJ Enterprises PTY LTD,89385-3-AA,IBA (indole-3-butyric acid),Growth Regulator,6/22/2016
Decco Ag PAA,N,N/A,Decco US Post-Harvest Inc.,63838-2-AA-2792,"Peroxyacetic acid, hydrogen peroxide","Bactericide, Fungicide, Antimicrobial, Slimicide",12/8/2015
Deliver Biological Insecticide,N,N/A,"Certis USA, LLC",70051-69-ZB,"Bacillus thuringiensis (berliner), subsp. kurstaki, strain SA-11",Insecticide,7/8/2016
Des-X Insecticidal Soap Concentrate,N,N/A,"Certis USA, LLC",67702-22-AA-70051,Potassium laurate,Insecticide,5/24/2012
Dipel DF Biological Insecticide,N,N/A,Valent Biosciences LLC,73049-39-AA,"Bacillus thuringiensis subsp. kurstaki, strain ABTS-351, fermentation solids and solubles",Insecticide,12/6/2018
Ditera DF Biological Nematicide Dry Flowable,N,N/A,Valent Biosciences LLC,73049-67-AA,"Myrothecium verrucaria, dried fermentation solids & solubles, strain AARC-0255",Nematicide,12/11/2013
Doktor Doom Total Release Fogger,N,N/A,"Ultrasol Industries, LTD.",72804-1-ZA,"Pyrethrins, piperonyl butoxide",Insecticide,5/18/2016
Double Nickel LC,N,N/A,"Bonide Products, LLC",4-80-AA,Mineral oil,"Insecticide, Fungicide",1/18/2012
Double Nickel LC,N,N/A,"Certis USA, LLC",70051-107-AA,Bacillus amyloliquefaciens strain: D747,"Bactericide, Fungicide, Antimicrobial",3/20/2019
Drexel Damoil,N,N/A,Drexel Chemical Company,19713-123-AA,Mineral oil,Insecticide,2/22/2018
Drexel Phiticide,N,N/A,Drexel Chemical Company,19713-625-AA,Potassium phosphite	,	Fungicide,3/18/2014
Drexel Suffa,N,N/A,Drexel Chemical Company,19713-39-AA,Sulfur,"Fungicide, Miticide, Insecticide, Antimicrobial",11/29/2017
Drexel Sulfur 80 WDG,N,N/A,Drexel Chemical Company,19713-674-AA,Sulfur,"Fungicide, Miticide, Insecticide",12/18/2019
Eight Insect Control Home & Garden Ready To Use,N,N/A,"Bonide Products, LLC",67702-15-ZC-4,"Pyrethrins, sulfur","Fungicide, Miticide, Insecticide",1/14/2016
Entrust,N,N/A,Corteva Agriscience LLC ,62719-282-AA,Spinosad,Insecticide,3/16/2017
Entrust SC,N,N/A,Corteva Agriscience LLC ,62719-621-AA,Spinosad,Insecticide,5/11/2018
EthylBloc,N,N/A,"Smithers-Oasis Company D/B/A Floralife, Inc. ",71297-1-AA-32258,1-Methycyclopropene ,Growth Regulator,8/8/2012
Evergreen Crop Protection EC 60-6,N,N/A,"McLaughlin Gormley King Company, D/B/A MGK",1021-1770-ZA,"Pyrethrins, piperonyl butoxide",Insecticide,1/11/2019
Evergreen Pyrethrum Concentrate,N,N/A,"McLaughlin Gormley King Company, D/B/A MGK",1021-2560-ZA,Pyrethrins,Insecticide,7/12/2011
Extinguish Professional Fire Ant Bait,N,N/A,Wellmark International,2724-475-ZA,S-methoprene,Insect Growth Regulator,4/20/2021
Ferti-Lome Triple Action ,N,N/A,"Voluntary Purchasing Groups, Inc.",70051-111-ZA-7401,Clarified hydrophobic extract of neem oil,"Fungicide, Miticide, Insecticide",6/11/2021
Ferti-Lome Triple Action Ready-To-Spray,N,N/A,"Voluntary Purchasing Groups, Inc.",70051-111-AA-7401,Clarified hydrophobic extract of neem oil,"Fungicide, Miticide, Insecticide",11/19/2012
Fruit Tree Spray Plus,N,N/A,"Lawn And Garden Products, Inc.",70051-111-AA-54705,"Clarified hydrophobic extract of neem oil, pyrethrins","Fungicide, Miticide, Insecticide",12/2/2021
Fulfill Insecticide,N,N/A,"Makhteshim Agan of North America, Inc. D/B/A Adama ",66222-274-AA,Pymetrozine,Insecticide,4/22/2020
Garden  Multi-Purpose Garden Insect Killer,N,N/A,"Spectrum Group, Division Of United Industries Corp.",67702-35-ZB-8845,"Canola oil, pyrethrins",Insecticide,11/19/2021
Garden Friendly Fungicide,N,N/A,"Southern Agricultural Insecticides, Inc.",70051-107-AA-829,Bacillus amyloliquefaciens strain: D747,"Bactericide, Fungicide",1/19/2017
Garden Safe Brand Fungicide 3 Concentrate,N,N/A,Schultz Company,70051-2-ZC-39609,Clarified hydrophobic extract of neem oil,"Fungicide, Miticide, Insecticide",7/5/2017
Garden Safe Brand Insecticidal Soap Insect Killer,N,N/A,Schultz Company,67702-13-AA-39609,Potassium laurate,"Fungicide, Miticide, Insecticide",5/27/2020
Garden Safe Brand Neem Oil Extract Concentrate,N,N/A,Schultz Company,70051-2-ZB-39609,Clarified hydrophobic extract of neem oil,"Fungicide, Miticide, Insecticide",12/17/2013
Gardentech Rootboost Rooting Hormone,N,N/A,"Techpac, LLC",59807-4-AA-71004,IBA (indole-3-butyric acid),Growth Regulator,3/2/2021
Gemstar LC,N,N/A,"Certis USA, LLC",70051-45-AA,Polyhedral occlusion bodies of the nuclear polyhedrosis virus of helicoverpa zea (corn earworm),Insecticide,1/11/2017
General Hydroponics Exile Insecticide/Fungicide/Miticide ,N,N/A,Hawthorne Hydroponics LLC D/B/A General Hydroponics ,91865-2-AA,Potassium laurate ,"Bactericide, Fungicide, Miticide, Antimicrobial ",10/17/2018
General Hydroponics Prevasyn Insect Repellant/Insecticide ,N,N/A,Hawthorne Hydroponics LLC D/B/A General Hydroponics ,91865-1-AA,"Capsicum oleoresin, soybean oil, garlic oil","Miticide, Insecticide, Repellent",10/11/2018
Golden Micronized Sulfur,N,N/A,"Wilbur Ellis Company, LLC",2935-407-ZD,Sulfur,"Fungicide, Insecticide, Antimicrobial",8/24/2021
Golden Pest Spray Oil,N,N/A,"Stoller Enterprises, Inc.",57538-11-AA,Soybean oil,"Miticide, Insecticide",9/22/2021
Grandevo WDG,N,N/A,"Pro Farm Group, Inc.",84059-27-AA,Chromobacterium subtsugae strain: PRAA 4-1,"Miticide, Insecticide",12/14/2015
Greenclean FX Liquid Algaecide,N,N/A,"Biosafe Systems, LLC",70299-16-AA,"Hydrogen peroxide, peroxyacetic acid",Algaecide,4/10/2023
Greenclean Liquid 5.0,N,N/A,"Biosafe Systems, LLC",70299-19-ZB,"Hydrogen peroxide, peroxyacetic acid","Bactericide, Algaecide, Antimicrobial",9/18/2022
Grow More Rapid Root,N,N/A,"Grow More, Inc.",70908-2-AA,IBA (indole-3-butyric acid),Growth Regulator,11/14/2022
Hormex Vitamin B1 and Hormone Concentrate,N,N/A,Maia Products Inc./Ag Division,8281-9-AA,NAA  ,Growth Regulator,5/21/2020
Hormodin 1,N,N/A,"OHP, Inc.",59807-4-AA,IBA (indole-3-butyric acid),Growth Regulator,9/10/2020
Howler Fungicide,N,N/A,Agbiome Innovations Inc.,91197-3-AA-92488,Pseudomonas chlororaphis subsp. aurantiaca strain: AFS009,"Fungicide, Antimicrobial",1/20/2016
Howler Lawn And Garden Fungicide,N,N/A,Agbiome Innovations Inc.,91197-3-ZA-92488,Pseudomonas chlororaphis subsp. aurantiaca strain: AFS009,Fungicide,10/9/2020
Insect Soap,N,N/A,"Espoma Company, The - D/B/A Espoma Organic",67702-21-ZA-83598,Potassium laurate,"Insecticide, Fungicide",4/27/2021
Javelin WG Biological Insecticide,N,N/A,"Certis USA, LLC",70051-66-ZA,"Bacillus thuringiensis (berliner), subsp. kurstaki, strain SA-11",Insecticide,10/29/2019
Kopa Insecticidal Soap,N,N/A,"OHP, Inc.",67702-11-AA-59807,Potassium laurate,"Fungicide, Miticide, Insecticide",8/14/2019
Leaf Life Gavicide Green 415,N,N/A,"Loveland Products, Inc.",34704-1028-AA,Mineral oil,Insecticide,10/3/2013
Leprotec,N,N/A,Vestaron Corporation,89046-12-AA-88847,Bacillus thuringiensis subsp. kurstaki strain: EVB-113-19,Insecticide,8/29/2011
Lesco Horticultrural Oil Plus,N,N/A,"Lesco, Inc.",10404-121-AA,Prodiamine,Herbicide,4/14/2020
Lifegard WG,N,N/A,"Certis USA, LLC",70051-119-AA,Bacillus mycoides Isolate J	,"Bactericide, Fungicide, Antimicrobial",6/4/2019
Microthiol,N,N/A,"UPL NA, Inc.",70506-187-AA,Sulfur,"Fungicide, Miticide, Insecticide, Antimicrobial",12/17/2018
Mighty,N,N/A,"Oregon Global Distribution, Inc. D/B/A NPK Industries ",89819-1-ZA,"Pyrethrins, canola oil","Miticide, Insecticide",1/2/2019
Milstop Broad Spectrum Foliar Fungicide  ,N,N/A,"Bioworks, Inc. D/B/A Bioworks",70870-1-AA-68539,Potassium bicarbonate,"Fungicide, Antimicrobial",6/22/2021
Miracle-Gro Nature'S Care Insecticidal Soap,N,N/A,"Miracle-Gro Lawn Products, Inc.",67702-21-ZA-62355,Potassium laurate,Insecticide,6/22/2021
Monterey Complete Disease Control Brand,N,N/A,"Lawn And Garden Products, Inc.",70051-107-AA-54705,Bacillus velezensis strain: D747,"Bactericide, Fungicide",6/22/2021
Monterey Garden Phos,N,N/A,"Lawn And Garden Products, Inc.",83416-1-AA-54705,Potassium phosphite,"Bactericide, Fungicide, Antimicrobial",6/22/2021
Monterey Horticultural Oil,N,N/A,"Lawn And Garden Products, Inc.",48813-1-ZE-54705,Mineral oil,"Fungicide, Insecticide",6/22/2021
Monterey Horticultural Oil RTU,N,N/A,"Lawn And Garden Products, Inc.",6218-78-AA-54705,Mineral oil,Insecticide,6/22/2021
Monterey Neem Oil RTU,N,N/A,"Lawn And Garden Products, Inc.",70051-13-AA-54705,Clarified hydrophobic extract of neem oil,"Fungicide, Miticide, Insecticide",6/1/2018
Monterey Take Down Garden Spray RTU,N,N/A,"Lawn And Garden Products, Inc.",67702-6-ZA-54705,"Pyrethrins, canola oil",Insecticide,8/10/2018
M-Pede Insecticide Miticide Fungicide,N,N/A,"Gowan Company, LLC",10163-324-AA,Potassium laurate,"Fungicide, Miticide, Insecticide",5/18/2020
Mycostop Biofungicide,N,N/A,Danstar Ferment Ag / Lallemand Plant Care,64137-5-ZA,Streptomyces griseoviridis strain: K61,Fungicide,5/7/2020
Mycostop Biofungicide For Vegetable And Ornamental Crops,N,N/A,Danstar Ferment Ag / Lallemand Plant Care,64137-5-AA,Streptomyces griseoviridis strain: K61,Fungicide,3/4/2021
Mycotrol ESO,N,,"Certis USA, LLC",82074-1-ZA,Beauveria bassiana strain: GHA ,Insecticide,9/19/2022
Mycotrol O,N,N/A,"Certis USA, LLC",82074-3-AA,Beauveria bassiana strain: GHA ,Insecticide,6/3/2020
Mycotrol Optimo ESO,N,,"Certis USA, LLC",82074-17-AA,Beauveria bassiana strain: GHA ,Insecticide,11/2/2023
Narrow Range 415 Spray Oil,N,N/A,"Loveland Products, Inc.",34704-1025-ZA,Mineral oil,Insecticide,4/18/2018
Natria Insecticidal Soap  ,N,N/A,SBM Life Science Corp.,67702-21-AA-92564,Potassium laurate,"Fungicide, Insecticide",9/26/2019
Natria Neem Oil Concentrate,N,N/A,SBM Life Science Corp.,70051-2-AA-92564,Clarified hydrophobic extract of neem oil,"Fungicide, Miticide, Insecticide",3/9/2021
Natria Neem Oil Ready-To-Use,N,N/A,SBM Life Science Corp.,70051-13-AA-92564,Clarified hydrophobic extract of neem oil,"Fungicide, Insecticide",1/31/2012
Natural Guard Brand By Ferti-Lome Insecticidal Soap Concentrate,N,N/A,"Voluntary Purchasing Groups, Inc.",67702-22-ZA-7401,Potassium laurate	,"Fungicide, Insecticide",1/4/2021
Neem Oil 3-n-1,N,N/A,"Espoma Company, The - D/B/A Espoma Organic ",70051-13-AA-83598,Clarified hydrophobic extract of neem oil,"Fungicide, Miticide, Insecticide",9/30/2011
"Nutrol Fungicide, Plant Nutrient & Tank Buffering Agent",N,N/A,"Lidochem, Inc.",70644-1-ZB,"Phosphoric acid, monopotassium salt",Fungicide,9/28/2021
Obtego Fungicide And Plant Symbiont,N,N/A,Sepro Corporation,80289-9-67690,"Trichoderma ICC 012 asperellum, Trichoderma ICC 080 gamsii",Fungicide,9/9/2021
Omni Supreme Spray ,N,N/A,"Helena Agri-Enterprises, LLC, D/B/A Helena Chemical Company",5905-368-AA,Mineral oil,"Miticide, Insecticide",9/25/2013
Organics Brand Houseplant  Insect Killer,N,N/A,SBM Life Science Corp.,67702-21-ZA-92564,Potassium laurate,"Fungicide, Insecticide",2/1/2018
Organics Brand Insecticidal Soap,N,N/A,SBM Life Science Corp.,67702-21-ZB-92564,Potassium laurate,"Fungicide, Insecticide",7/30/2019
Pest Fighter Year-Round Spray Oil,N,N/A,Summit Chemical Co. D/B/A Summit Responsible Solutions ,6218-71-ZA,Mineral oil,"Miticide, Insecticide",6/27/2019
Phostrol Agricultural Fungicide,N,N/A,"Nufarm Americas, Inc. Agt Division",55146-83-AA,Potassium phosphite,Fungicide,10/24/2019
Plantshield HC Biological Fungicide,N,N/A,"Bioworks, Inc. D/B/A Bioworks",68539-4-ZF,Trichoderma harzianum rifai strain: KRL-AG2,	Fungicide,1/12/2023
Prestop,N,,Danstar Ferment AG/Lallemand Plant Care ,64137-13-ML,Clonostachys rosea strain: J1446 ,Fungicide,Master label
Prev-Am Ultra,N,N/A,"Oro Agri, Inc.",72662-3-ZA,Sodium tetraborate decahydrate ,"Fungicide, Miticide, Insecticide, Antimicrobial",3/10/2021
Primastop Biofungicide,N,,Danstar Ferment AG/Lallemand Plant Care ,64137-8,Clonostachys rosea strain: J1446 ,Fungicide,Not registered in CA
Progibb 4% Plant Growth Regulator,N,N/A,Valent Biosciences LLC,73049-15-AA,Gibberellins,Growth Regulator,7/6/2021
Progibb T&O PGR Solution,N,N/A,Valent Biosciences LLC,73049-15-ZA,Gibberellins,Growth Regulator,10/4/2021
Progibb T&O Plant Growth Regulator,N,N/A,Valent Biosciences LLC,73049-15-ZB,Gibberellins,Growth Regulator,10/23/2013
PureSpray Green,N,N/A,"Petro-Canada Lubricants, Inc., D/B/A Intelligro ",69526-9-ZB,Mineral oil,"Fungicide, Insecticide, Antimicrobial",12/9/2022
Pycana,N,N/A,"OHP, Inc.",67702-53-AA-59807,"Pyrethrins, canola oil","Miticide, Insecticide",3/31/2021
Pylon Mititicide-Insecticide,N,N/A,BASF Corporation,241-374-AA,Chlorfenapyr ,"Miticide, Insecticide, Nematacide",5/4/2021
Pyrethrum TR Total Release Insecticide,N,N/A,BASF Corporation,499-479-ZA,"Pyrethrins, piperonyl butoxide",Insecticide,3/11/2021
Pyronyl Crop Spray,N,N/A,Central Garden & Pet Company,89459-26-AA,"Pyrethrins, piperonyl butoxide",Insecticide,2/23/2021
Rampart 6.8,N,N/A,"Loveland Products, Inc.",82940-1-AA-34704,Potassium phosphite,Fungicide,10/31/2017
Rampart Fungicide,N,N/A,"Loveland Products, Inc.",34704-924-ZA,Potassium phosphite,Fungicide,10/25/2018
Rapidgrow Rootburst Powder,N,N/A,Rapidgrow Industries,83527-1-AA,IBA (indole-3-butyric acid),Growth Regulator,9/24/2018
Regalia,N,N/A,"Pro Farm Group, Inc.",84059-3-AA,Reynoutria sachalinensis,"Bactericide, Fungicide, Antimicrobial ",9/7/2022
Regalia PTO Biofungicide,N,N/A,Belchim Crop Protection US Corporation ,84059-3-AA-87865,Reynoutria sachalinensis (giant knotweed) plant extract ,"Fungicide, Antimicrobial",2/22/2022
Reliant Systemic Fungicide,N,N/A,Quest Products LLC,83416-1-AA,Potassium phosphite,Fungicide,6/28/2022
Reload Fungicide,N,N/A,Belchim Crop Protection US Corporation,87865-1-AA,Potassium phosphite,Fungicide,2/22/2022
Requiem EC,N,N/A,Bayer Cropscience LP,264-1159-AA,Chenopodium ambrosiodes near ambrosiodes,"Miticide, Insecticide",1/24/2017
Requiem Prime,N,N/A,Bayer Cropscience LP,264-1185-AA,Chenopodium ambrosiodes near ambrosiodes,	Insecticide,3/17/2020
Reset,N,N/A,"Athena Ag, Inc.",63838-1-93752,"Hydrogen peroxide, peroxyacetic acid","Disinfectant, Bactericide, Fungicide, Algaecide, Antimicrobial, Slimicide",8/31/2020
Revitalize Biofungicide Concentrate,N,N/A,"Bonide Products, LLC",70051-107-ZA-4,Bacillus velezensis strain: D747,"Bactericide, Fungicide, Antimicrobial",8/21/2013
Revitalize Biofungicide Ready To Use,N,N/A,"Bonide Products, LLC",70051-114-ZA-4,Bacillus velezensis strain: D747,	Fungicide,8/21/2013
Rhizopan AA #2 (0.3),N,N/A,Hortus USA Corporation,63310-20-ZA,IBA (indole-3-butyric acid),Growth Regulator,6/19/2014
Root-Gel,N,N/A,Dyna-Gro,87394-4-AA,"NAA, IBA",Growth Regulator,5/23/2019
Rootshield Granuals Biological Fungicide,N,N/A,"Bioworks, Inc. D/B/A Bioworks",68539-3-ZD,Trichoderma harzianum rifai strain: KRL-AG2,	Fungicide,11/21/2016
Rootshield Plus+ Granules Biological Fungicide,N,N/A,"Bioworks, Inc. D/B/A Bioworks",68539-10-AA,"Trichoderma virens strain: G-41, Trichoderma harzianum rifai strain: KRL-AG2",	Fungicide,10/26/2020
Rootshield Plus+ WP Biological Fungicide,N,N/A,"Bioworks, Inc. D/B/A Bioworks",68539-9-AA,"Trichoderma virens strain: G-41, Trichoderma harzianum rifai strain: KRL-AG2",	Fungicide,2/16/2021
Safer Brand Neem Oil Concentrate,N,N/A,"Safer, Inc., A Wholly-Owned Subsidary of Woodstream Corporation",70051-2-ZC-42697,Clarified hydrophobic extract of neem oil,"Fungicide, Miticide, Insecticide",12/21/2021
Safer Brand Rose & Flower 3-In-1 Garden Spray II,N,N/A,"Safer, Inc., A Wholly-Owned Subsidary of Woodstream Corporation",59913-12-ZF,"Potassium laurate, sulfur","Fungicide, Miticide, Insecticide",12/21/2021
Safer Brand Tomato & Vegetable 3-In-1 Garden Spray,N,N/A,"Safer, Inc., A Wholly-Owned Subsidary of Woodstream Corporation",59913-12-ZE,"Potassium laurate, sulfur","Fungicide, Insecticide",5/20/2021
Sanidate 12.0,N,N/A,"Biosafe Systems, LLC",70299-18-AA,"Hydrogen peroxide, peroxyacetic acid","Disinfectant, Bactericide, Fungicide, Algaecide, Antimicrobial",10/10/2016
Sanidate 5.0,N,N/A,"Biosafe Systems, LLC",70299-19-AA,"Hydrogen peroxide, peroxyacetic acid","Disinfectant, Virucide, Bactericide, Fungicide, Algaecide, Antimicrobial, Slimicide",10/18/2016
Sanidate HC,N,N/A,"Biosafe Systems, LLC",70299-31-AA,"Hydrogen peroxide, peroxyacetic acid","Disinfectant, Bactericide, Antimicrobial",7/19/2017
Sanidate WTO,N,N/A,"Biosafe Systems, LLC",70299-19-ZA,"Hydrogen peroxide, peroxyacetic acid","Bactericide, Fungicide, Algaecide, Antimicrobial",7/12/2021
Savey 50 DF,N,N/A,"Gowan Company, LLC",10163-250-AA,Hexythiazox ,"Miticide, Insecticide",10/15/2008
Serenade ASO,N,N/A,Bayer Cropscience LP,264-1152-AA,QST 713 strain of dried Bacillus subtilis,"Bactericide, Fungicide",9/19/2019
Serenade Garden Disease Control Concentrate,N,N/A,Bayer Cropscience LP,264-1152-ZA,QST 713 strain of dried Bacillus subtilis,Fungicide,7/24/2013
Serenade Garden Disease Control Ready To Spray,N,N/A,Bayer Cropscience LP,264-1152-ZB,QST 713 strain of dried Bacillus subtilis,Fungicide,10/22/2015
Serenade Max,N,N/A,Bayer Cropscience LP,264-1151-AA,QST 713 strain of dried Bacillus subtilis,Fungicide,12/7/2016
Serenade Opti,N,N/A,Bayer Cropscience LP,264-1160-ZA,QST 713 strain of dried Bacillus subtilis,"Bactericide, Fungicide",2/8/2019
Serifel,N,,BASF Coropration,71840-18-AA,Bacillus velezensis strain: MBI 600,Fungicide,4/13/2023
Sil-Matrix LC,N,N/A,"Certis USA, LLC",70051-127-AA,Potassium silicate,"Insecticide, Fungicide, Miticide",2/9/2023
Sonata,N,N/A,Bayer Cropscience LP,264-1153-AA,Bacillus pumilus strain: QST 2808,Fungicide,2/16/2021
Spear T Liquid Concentrate,N,N/A,Vestaron Corporation,88847-6-AA,"GS-omega/kappa-HXTX-HV1A, versitude peptide","Miticide, Insecticide",12/21/2021
Suffoil-X,N,N/A,"Bioworks, Inc. D/B/A Bioworks",48813-1-68539,Mineral oil,"Fungicide, Miticide, Insecticide",1/11/2019
Suppress T & O Herbicide EC,N,N/A,"San Group Biotech USA, Inc. ",51517-9-ZA,"Caprylic acid, capric acid","Herbicide, Desiccant ",2/20/2019
T-22 HC Biological Fungicide,N,N/A,"Bioworks, Inc. D/B/A Bioworks",68539-4-ZG,Trichoderma harzianum rifai strain: KRL-AG2,	Fungicide,3/2/2018
Take Down Garden Spray (Concentrate),N,N/A,"Lawn And Garden Products, Inc.",67702-5-AA-54705,"Pyrethrins, canola oil",Insecticide,8/13/2019
Tenet WP,N,N/A,"Isagro S.P.A., D/B/A Isagro USA Inc. ",80289-9-AA,"Trichoderma ICC 012 asperellum, Trichoderma ICC 080 gamsii",Fungicide,6/1/2019
Tersus Insecticide,N,N/A,"McLaughlin Gormley King Company, D/B/A MGK",1021-2616-AA,Pyrethrins,Insecticide,12/9/2015
Theia Fungicide,N,N/A,Agbiome Innovations Inc.,94713-2-AA-92488,Bacillus subtilis strain: AFS032321,Fungicide,7/14/2015
Tomato & Vegetable Concentrate,N,N/A,"Bonide Products, LLC",67702-17-ZB-4,"Pyrethrins, sulfur","Fungicide, Miticide, Insecticide",6/1/2016
Tomato & Vegetable Ready To Spray,N,N/A,"Bonide Products, LLC",67702-17-ZC-4,"Pyrethrins, sulfur","Fungicide, Miticide, Insecticide",6/14/2023
Tomato & Vegetable Ready To Use,N,N/A,"Bonide Products, LLC",67702-15-AA-4,"Pyrethrins, sulfur","Fungicide, Miticide, Insecticide",6/19/2014
Tresoil,N,N/A,"Brandt Consolidated, Inc.",48813-1-ZG,Mineral oil,"Insecticide, Fungicide, Miticide",12/9/2015
Triple Action Neem Oil,N,N/A,"Southern Agricultural Insecticides, Inc.",70051-2-AA-829,Clarified hydrophobic extract of neem oil,"Fungicide, Miticide, Insecticide",2/7/2019
Tritek,N,N/A,"Brandt Consolidated, Inc.",48813-1-ZF,Mineral oil,"Insecticide, Fungicide, Miticide",8/3/2018
Urthopet Flea Powder,N,N/A,"St. Gabriel Organics, LLC",63191-17-AA,Diatomaceous earth,Insecticide,4/30/2020
Velifer Bioinsecticide/Miticide ,N,N/A,BASF Corporation,71840-22-ZA,Beauveria bassiana strain PPRI 5339,"Miticide, Insecticide",3/27/2009
Velifer Fungal Contact Insecticide/Miticide ,N,N/A,BASF Corporation,71840-22-AA,Beauveria bassiana strain PPRI 5339,"Miticide, Insecticide",7/14/2020
Venerate,N,N/A,"Pro Farm Group, Inc.",84059-14-AA,Burkholderia rinojensis strain: A396,Insecticide,12/9/2015
Weed Impede,N,N/A,"Lawn And Garden Products, Inc.",54705-5-ZB,Oryzalin,Herbicide,9/3/2020
Whitney Farms Insecticidal Soap,N,N/A,"Swiss Farms Products, Inc.",67702-21-AA-73327,Potassium laurate,Insecticide,10/9/2020
Year-Round ,N,N/A,Summit Chemical Co. D/B/A Summit Responsible Solutions ,6218-71-AA,Mineral oil,Insecticide,3/20/2023